frame,wall_ms,mode,success,message,det_valid,det_tracking,det_stable,det_corners,pose_corners,num_points,num_inliers,mean_err,max_err,confidence,persistent_count
525,86.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.225,0.450,0.978,35
526,87.5,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.173,0.343,0.983,35
527,87.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.179,0.332,0.982,35
528,86.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.140,0.338,0.986,35
529,85.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.218,0.510,0.978,35
530,85.4,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,21,18,21,18,0.990,2.023,0.562,35
531,76.4,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
532,72.4,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
533,72.9,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
534,77.2,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
535,75.2,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
536,77.7,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
537,77.9,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
538,76.9,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
539,78.0,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
540,76.2,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
541,77.3,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
542,77.0,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
543,76.1,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
544,76.8,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
545,74.8,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
546,71.5,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
547,71.5,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
548,70.9,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
549,74.9,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
550,76.7,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
551,70.7,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
552,71.5,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
553,74.1,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
554,77.1,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
555,77.5,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
556,78.1,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
557,76.7,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
558,78.5,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
