candidate_rank,frame_index,capture_time_s,used_for_calibration,selected_rank,score,num_charuco,num_aruco,corner_fraction,sharpness,centroid_u,centroid_v,centroid_u_norm,centroid_v_norm,bbox_area_norm,bbox_diag_norm,edge_margin_px,edge_margin_norm,radius_norm,grid_col,grid_row,corner_grid_cells,edge_corners_lrtb,radius_bin,size_bin,selected_reprojection_mean_px
52,369,5.781000,0,,0.559972,21.000000,16.000000,0.437500,3253.618252,1243.263175,177.950551,0.647870,0.164922,0.053787,0.288700,77.763351,0.072003,0.517963,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/5/0,2,1,
53,372,5.891000,0,,0.525755,17.000000,14.000000,0.354167,3132.322535,1228.520325,189.117731,0.640188,0.175271,0.050360,0.286986,75.145996,0.069580,0.500203,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/1/0,2,1,
54,374,5.984000,0,,0.447556,16.000000,13.000000,0.333333,3155.893593,1210.963116,188.724615,0.631039,0.174907,0.028416,0.279106,140.441315,0.130038,0.495695,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/0/0,1,1,
55,377,6.094000,0,,0.446434,16.000000,13.000000,0.333333,3145.129822,1211.721416,176.668365,0.631434,0.163733,0.025806,0.278908,132.943527,0.123096,0.510588,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/0/0,2,1,
56,380,6.219000,0,,0.459650,16.000000,13.000000,0.333333,3029.961892,1212.622871,167.623537,0.631904,0.155351,0.028241,0.279374,118.726440,0.109932,0.521884,4,0,3:0 4:0 5:0,0/0/7/0,2,1,
57,383,6.328000,0,,0.480235,16.000000,13.000000,0.333333,3009.286792,1219.712788,153.241964,0.635598,0.142022,0.030843,0.281963,100.168320,0.092748,0.541359,4,0,3:0 4:0 5:0,0/0/8/0,2,1,
58,385,6.422000,0,,0.488664,16.000000,13.000000,0.333333,3195.093114,1222.495220,147.532943,0.637048,0.136731,0.032006,0.282910,92.685089,0.085820,0.549084,4,0,3:0 4:0 5:0,0/0/8/0,2,1,
59,388,6.547000,0,,0.505762,16.000000,13.000000,0.333333,3152.839110,1224.594379,137.459157,0.638142,0.127395,0.034841,0.284206,77.758499,0.071999,0.561992,4,0,3:0 4:0 5:0,0/0/8/0,2,1,
60,391,6.656000,0,,0.462062,12.000000,11.000000,0.250000,3014.492455,1166.371867,142.790815,0.607802,0.132336,0.029655,0.282591,84.035866,0.077811,0.541845,4,0,3:0 4:0 5:0,0/0/4/0,2,1,
61,393,6.750000,0,,0.466124,12.000000,11.000000,0.250000,2952.001179,1164.597427,137.756554,0.606877,0.127671,0.029205,0.281399,79.183624,0.073318,0.547817,4,0,3:0 4:0 5:0,0/0/4/0,2,1,
62,396,6.859000,0,,0.449725,10.000000,10.000000,0.208333,2634.630473,1166.211713,139.893150,0.607718,0.129651,0.025357,0.278692,74.666588,0.069136,0.545457,4,0,3:0 4:0 5:0,0/0/2/0,2,1,
63,398,6.953000,0,,0.360182,8.000000,9.000000,0.166667,2487.225202,1212.574203,153.033657,0.631878,0.141829,0.000799,0.275147,151.602402,0.140373,0.539774,4,0,3:0 4:0 5:0,0/0/0/0,2,0,
64,401,7.078000,0,,0.366448,8.000000,9.000000,0.166667,2408.871808,1199.813026,149.137058,0.625228,0.138218,0.006180,0.273492,138.326767,0.128080,0.541421,4,0,3:0 4:0 5:0,0/0/0/0,2,0,
65,404,7.203000,0,,0.382880,8.000000,9.000000,0.166667,2194.111036,1195.914902,139.615499,0.623197,0.129393,0.012565,0.274396,117.660645,0.108945,0.552316,4,0,3:0 4:0 5:0,0/0/2/0,2,0,
66,406,7.297000,0,,0.400454,8.000000,9.000000,0.166667,2113.597005,1191.663048,131.507215,0.620981,0.121879,0.016760,0.275204,102.288826,0.094712,0.561448,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
67,408,7.391000,0,,0.407650,8.000000,9.000000,0.166667,2037.485187,1185.451843,127.189206,0.617745,0.117877,0.018345,0.274984,95.051804,0.088011,0.565476,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
68,410,7.484000,0,,0.416306,8.000000,9.000000,0.166667,2073.044719,1175.761543,123.784837,0.612695,0.114722,0.020288,0.274686,88.132309,0.081604,0.567696,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
69,413,7.609000,0,,0.395561,7.000000,8.000000,0.145833,2199.209538,1206.606951,134.174071,0.628769,0.124350,0.016450,0.233055,100.138214,0.092721,0.561594,4,0,3:0 4:0 5:0,0/0/3/0,2,0,
70,415,7.719000,0,,0.452849,10.000000,10.000000,0.208333,2202.249124,1207.341357,122.064738,0.629151,0.113128,0.027972,0.276661,76.449249,0.070786,0.576802,4,0,3:0 4:0 5:0,0/0/6/0,2,1,
71,417,7.812000,0,,0.438468,9.000000,9.000000,0.187500,2279.626795,1238.422302,128.215209,0.645348,0.118828,0.023987,0.237083,80.275826,0.074329,0.576920,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
72,419,7.906000,0,,0.436596,9.000000,9.000000,0.187500,2237.873787,1234.455065,128.700951,0.643280,0.119278,0.024298,0.237466,82.230995,0.076140,0.575289,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
73,421,8.016000,0,,0.434255,9.000000,9.000000,0.187500,2194.673883,1228.649475,129.662098,0.640255,0.120169,0.024439,0.237316,84.268250,0.078026,0.572614,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
74,423,8.125000,0,,0.433094,9.000000,9.000000,0.187500,2268.366755,1219.865655,131.625624,0.635678,0.121989,0.024369,0.237304,85.958801,0.079591,0.567981,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
75,425,8.234000,0,,0.429516,9.000000,9.000000,0.187500,2277.644429,1215.336717,134.640250,0.633318,0.124782,0.024184,0.236447,89.496140,0.082867,0.563137,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
76,427,8.344000,0,,0.427986,9.000000,9.000000,0.187500,2327.964996,1211.017985,136.073204,0.631067,0.126110,0.023881,0.235491,91.219620,0.084463,0.560307,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
77,429,8.437000,0,,0.426889,9.000000,9.000000,0.187500,2301.083901,1207.376533,135.888066,0.629170,0.125939,0.023812,0.234488,91.976776,0.085164,0.559654,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
78,431,8.547000,0,,0.426982,9.000000,9.000000,0.187500,2277.802826,1202.796943,134.977144,0.626783,0.125095,0.023678,0.233866,91.269058,0.084508,0.559693,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
79,433,8.656000,0,,0.426766,9.000000,9.000000,0.187500,2290.098028,1199.808417,134.634896,0.625226,0.124777,0.023678,0.233164,91.691887,0.084900,0.559417,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
80,435,8.766000,0,,0.426587,9.000000,9.000000,0.187500,2284.326051,1198.490445,134.844770,0.624539,0.124972,0.023867,0.233618,92.036766,0.085219,0.558849,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
81,437,8.859000,0,,0.425161,9.000000,9.000000,0.187500,2264.114287,1197.293077,135.618285,0.623915,0.125689,0.023873,0.233797,93.329300,0.086416,0.557609,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
82,439,8.969000,0,,0.425520,9.000000,9.000000,0.187500,2265.839617,1193.977017,135.537371,0.622187,0.125614,0.023886,0.234420,92.785164,0.085912,0.556946,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
83,441,9.078000,0,,0.427035,9.000000,9.000000,0.187500,2297.773929,1191.888889,134.631676,0.621099,0.124774,0.023866,0.234648,91.425156,0.084653,0.557600,4,0,3:0 4:0 5:0,0/0/4/0,2,0,
84,443,9.187000,0,,0.430873,9.000000,9.000000,0.187500,2287.672226,1190.869446,131.231032,0.620568,0.121623,0.023974,0.235570,87.251381,0.080788,0.561615,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
85,445,9.281000,0,,0.434800,9.000000,9.000000,0.187500,2278.577330,1191.954020,128.217356,0.621133,0.118830,0.024243,0.237065,83.243126,0.077077,0.565622,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
86,447,9.391000,0,,0.436183,9.000000,9.000000,0.187500,2279.263939,1188.896579,128.787350,0.619540,0.119358,0.024261,0.239062,81.221535,0.075205,0.564230,4,0,3:0 4:0 5:0,0/0/5/0,2,0,
87,449,9.500000,0,,0.443994,10.000000,10.000000,0.208333,2198.285171,1140.676135,129.529034,0.594412,0.120045,0.028170,0.279158,83.693710,0.077494,0.553677,4,0,2:0 3:0 4:0 5:0,0/0/5/0,2,1,
88,451,9.609000,0,,0.440783,10.000000,10.000000,0.208333,2378.857930,1129.394147,135.855280,0.588533,0.125909,0.027609,0.278255,87.847939,0.081341,0.543659,4,0,2:0 3:0 4:0 5:0,0/0/4/0,2,1,
89,453,9.719000,0,,0.437337,10.000000,10.000000,0.208333,2568.308757,1122.311554,140.968326,0.584842,0.130647,0.027379,0.277667,92.241867,0.085409,0.535947,4,0,2:0 3:0 4:0 5:0,0/0/4/0,2,1,
90,455,9.828000,0,,0.438177,10.000000,10.000000,0.208333,2698.368936,1118.947638,141.408472,0.583089,0.131055,0.027349,0.278572,90.886658,0.084154,0.534835,4,0,2:0 3:0 4:0 5:0,0/0/3/0,2,1,
91,457,9.937000,0,,0.440561,10.000000,10.000000,0.208333,2657.743739,1115.486115,139.771995,0.581285,0.129538,0.027548,0.279761,88.426659,0.081877,0.536375,4,0,2:0 3:0 4:0,0/0/4/0,2,1,
92,459,10.047000,0,,0.441256,10.000000,10.000000,0.208333,2524.649655,1107.426764,139.895825,0.577085,0.129653,0.027747,0.280618,87.584869,0.081097,0.534975,4,0,2:0 3:0 4:0,0/0/3/0,2,1,
93,461,10.156000,0,,0.473238,12.000000,11.000000,0.250000,2501.825999,1102.160848,133.048295,0.574341,0.123307,0.032454,0.281735,74.440384,0.068926,0.542999,4,0,2:0 3:0 4:0,0/0/5/0,2,1,
94,463,10.266000,0,,0.465976,12.000000,11.000000,0.250000,2722.417325,1088.118724,140.047161,0.567024,0.129793,0.032443,0.280957,81.707214,0.075655,0.532062,3,0,2:0 3:0 4:0,0/0/4/0,2,1,
